scenario,phase,iso_ts,extra
scenario1,start,2026-05-15T10:50:25Z,rep=1
scenario1,stop,2026-05-15T10:54:02Z,rep=1
scenario1,start,2026-05-15T10:55:21Z,rep=2
scenario1,stop,2026-05-15T11:00:23Z,rep=2
scenario1,start,2026-05-15T11:02:26Z,rep=3
scenario1,stop,2026-05-15T11:06:14Z,rep=3
scenario1,start,2026-05-15T11:07:51Z,rep=2b
scenario1,stop,2026-05-15T11:11:39Z,rep=2b
scenario2,start,2026-05-15T11:13:20Z,rep=1
scenario2,stop,2026-05-15T11:13:21Z,rep=1
scenario2,start,2026-05-15T11:13:27Z,rep=1
scenario2,stop,2026-05-15T11:13:39Z,rep=1
scenario2,start,2026-05-15T11:15:14Z,rep=2
scenario2,stop,2026-05-15T11:15:27Z,rep=2
scenario2,start,2026-05-15T11:16:53Z,rep=3
scenario2,stop,2026-05-15T11:17:06Z,rep=3
scenario3,start,2026-05-15T11:19:25Z,rep=1
scenario3,stop,2026-05-15T11:20:14Z,rep=1
scenario3,start,2026-05-15T11:22:02Z,rep=2
scenario3,stop,2026-05-15T11:22:29Z,rep=2
scenario3,start,2026-05-15T11:24:03Z,rep=3
scenario3,stop,2026-05-15T11:24:30Z,rep=3
scenario4,start,2026-05-15T11:30:14Z,rep=1
scenario4,stop,2026-05-15T11:32:30Z,rep=1
scenario4,start,2026-05-15T11:30:32Z,rep=1
scenario4,stop,2026-05-15T11:32:46Z,rep=1
scenario4,start,2026-05-15T11:35:46Z,rep=1
scenario4,stop,2026-05-15T11:35:47Z,rep=1
scenario4,start,2026-05-15T11:37:23Z,rep=2
scenario4,stop,2026-05-15T11:37:25Z,rep=2
scenario4,start,2026-05-15T11:38:52Z,rep=3
scenario4,stop,2026-05-15T11:38:53Z,rep=3
scenario5,start,2026-05-15T11:40:51Z,rep=1
scenario5,stop,2026-05-15T11:40:53Z,rep=1
scenario5,start,2026-05-15T11:41:21Z,rep=1b
scenario5,stop,2026-05-15T11:41:22Z,rep=1b
scenario5,start,2026-05-15T11:43:30Z,rep=1c
scenario5,stop,2026-05-15T11:43:32Z,rep=1c
scenario5,start,2026-05-15T11:45:27Z,rep=2
scenario5,stop,2026-05-15T11:45:29Z,rep=2
scenario5,start,2026-05-15T11:46:55Z,rep=3
scenario5,stop,2026-05-15T11:46:56Z,rep=3
